year,mass
1945,0.00
1946,-1.13
1947,-3.19
1948,-3.19
1949,-3.82
1950,-4.89
1951,-5.22
1952,-5.71
1953,-6.34
1954,-6.83
1955,-6.58
1956,-6.81
1957,-6.99
1958,-7.69
1959,-8.32
1960,-8.69
1961,-8.94
1962,-9.11
1963,-9.57
1964,-9.70
1965,-9.30
1966,-9.44
1967,-9.30
1968,-9.22
1969,-9.73
1970,-10.13
1971,-10.29
1972,-10.44
1973,-10.54
1974,-10.61
1975,-10.53
1976,-10.63
1977,-10.68
1978,-10.75
1979,-11.13
1980,-11.32
1981,-11.39
1982,-11.85
1983,-11.85
1984,-11.90
1985,-12.24
1986,-12.78
1987,-12.79
1988,-13.26
1989,-13.34
1990,-13.69
1991,-14.26
1992,-14.50
1993,-14.70
1994,-15.28
1995,-15.49
1996,-15.89
1997,-16.49
1998,-17.31
1999,-17.70
2000,-17.73
2001,-18.03
2002,-18.73
2003,-19.98
2004,-20.70
2005,-21.41
2006,-22.59
2007,-23.25
2008,-23.78
2009,-24.46
2010,-25.16
2011,-26.29
2012,-26.93
2013,-27.82
2014,-28.65
