year,ghg_emission
1970,0.01033
1971,0.00931
1972,0.00971
1973,0.01011
1974,0.00927
1975,0.00932
1976,0.00944
1977,0.00959
1978,0.00972
1979,0.00987
1980,0.00971
1981,0.00920
1982,0.00932
1983,0.00938
1984,0.00876
1985,0.00854
1986,0.00857
1987,0.00894
1988,0.00861
1989,0.00865
1990,0.00899
1991,0.00859
1992,0.00864
1993,0.00796
1994,0.00774
1995,0.00796
1996,0.00785
1997,0.00799
1998,0.00929
1999,0.00868
2000,0.00839
2001,0.00831
2002,0.00834
2003,0.00872
2004,0.00850
2005,0.00868
2006,0.00878
2007,0.00901
2008,0.00869
2009,0.00813
2010,0.00844
2011,0.00887
2012,0.00869
