year,temperature
1743,5.18
1744,9.84
1745,1.39
1746,1.39
1747,1.39
1748,1.39
1749,1.39
1750,9.13
1751,9.17
1752,4.41
1753,8.87
1754,8.80
1755,8.51
1756,9.16
1757,8.99
1758,8.21
1759,9.26
1760,8.70
1761,8.93
1762,8.50
1763,8.02
1764,8.77
1765,8.50
1766,8.62
1767,8.20
1768,7.57
1769,8.41
1770,8.61
1771,8.43
1772,9.11
1773,9.15
1774,7.85
1775,9.33
1776,8.35
1777,8.31
1778,8.49
1779,8.61
1780,8.82
1781,8.82
1782,7.64
1783,8.93
1784,7.98
1785,7.77
1786,7.96
1787,10.88
1788,10.39
1789,10.68
1790,10.89
1791,11.50
1792,10.90
1793,9.73
1794,10.29
1795,9.51
1796,10.21
1797,10.41
1798,10.91
1799,9.93
1800,10.80
1801,11.20
1802,11.07
1803,11.50
1804,11.96
1805,9.72
1806,10.81
1807,10.55
1808,9.07
1809,9.46
1810,9.39
1811,10.14
1812,8.47
1813,9.87
1814,9.03
1815,9.17
1816,9.54
1817,10.38
1818,10.45
1819,10.59
1820,10.55
1821,11.22
1822,11.39
1823,10.61
1824,14.64
1825,15.75
1826,14.94
1827,15.07
1828,14.86
1829,14.03
1830,11.28
1831,10.99
1832,11.04
1833,11.03
1834,11.70
1835,11.35
1836,11.68
1837,11.66
1838,11.53
1839,12.52
1840,12.71
1841,13.12
1842,12.85
1843,13.58
1844,12.74
1845,14.91
1846,15.69
1847,14.95
1848,15.20
1849,16.13
1850,16.91
1851,16.76
1852,15.93
1853,16.14
1854,16.26
1855,16.15
1856,17.28
1857,17.09
1858,17.29
1859,17.80
1860,17.20
1861,17.30
1862,16.70
1863,16.45
1864,16.73
1865,16.63
1866,16.62
1867,16.46
1868,17.10
1869,17.16
1870,16.78
1871,16.15
1872,16.76
1873,17.67
1874,17.42
1875,17.58
1876,17.93
1877,18.02
1878,18.30
1879,17.39
1880,17.76
1881,17.91
1882,17.82
1883,18.01
1884,17.87
1885,17.94
1886,17.94
1887,17.82
1888,17.73
1889,18.18
1890,18.07
1891,18.19
1892,18.22
1893,18.14
1894,18.28
1895,18.25
1896,18.34
1897,18.51
1898,18.38
1899,18.45
1900,18.55
1901,18.53
1902,18.34
1903,18.43
1904,18.21
1905,18.40
1906,18.48
1907,18.15
1908,18.30
1909,18.34
1910,18.38
1911,18.41
1912,18.46
1913,18.49
1914,18.66
1915,18.71
1916,18.55
1917,18.24
1918,18.39
1919,18.53
1920,18.54
1921,18.61
1922,18.50
1923,18.57
1924,18.62
1925,18.59
1926,18.87
1927,18.74
1928,18.74
1929,18.49
1930,18.85
1931,18.76
1932,18.75
1933,18.56
1934,18.82
1935,18.72
1936,18.81
1937,18.96
1938,18.87
1939,18.81
1940,18.70
1941,18.88
1942,18.76
1943,18.82
1944,18.86
1945,18.81
1946,18.92
1947,19.04
1948,18.76
1949,18.73
1950,18.59
1951,18.78
1952,18.81
1953,18.86
1954,18.58
1955,18.66
1956,18.29
1957,18.76
1958,18.94
1959,18.83
1960,18.89
1961,18.92
1962,18.69
1963,18.68
1964,18.58
1965,18.52
1966,18.87
1967,18.63
1968,18.61
1969,18.77
1970,18.79
1971,18.59
1972,18.67
1973,18.87
1974,18.63
1975,18.75
1976,18.48
1977,18.92
1978,18.73
1979,18.91
1980,18.85
1981,18.92
1982,18.85
1983,19.09
1984,18.76
1985,18.70
1986,18.80
1987,19.05
1988,19.11
1989,19.06
1990,19.32
1991,19.01
1992,18.97
1993,18.93
1994,19.25
1995,19.27
1996,18.96
1997,19.25
1998,19.60
1999,19.39
2000,19.35
2001,19.43
2002,19.57
2003,19.53
2004,19.42
2005,19.50
2006,19.54
2007,19.61
2008,19.42
2009,19.55
2010,19.63
2011,19.46
2012,19.47
2013,19.85
