year,level
1880,0.00
1881,0.22
1882,-0.44
1883,-0.23
1884,0.59
1885,0.53
1886,0.44
1887,0.22
1888,0.30
1889,0.36
1890,0.44
1891,0.37
1892,0.50
1893,0.69
1894,0.30
1895,0.77
1896,0.47
1897,0.67
1898,1.04
1899,1.34
1900,1.13
1901,1.11
1902,1.29
1903,1.61
1904,1.20
1905,0.98
1906,1.25
1907,1.20
1908,1.10
1909,1.28
1910,1.27
1911,1.60
1912,1.48
1913,1.55
1914,1.80
1915,2.11
1916,2.03
1917,1.85
1918,1.79
1919,1.85
1920,1.91
1921,1.99
1922,1.95
1923,2.00
1924,1.71
1925,1.79
1926,2.05
1927,2.00
1928,1.85
1929,1.91
1930,2.06
1931,2.05
1932,2.27
1933,2.44
1934,2.23
1935,2.45
1936,2.30
1937,2.52
1938,2.62
1939,2.83
1940,2.62
1941,3.10
1942,3.10
1943,3.10
1944,2.85
1945,2.96
1946,3.25
1947,3.37
1948,3.56
1949,3.51
1950,3.60
1951,3.97
1952,3.87
1953,4.04
1954,3.93
1955,3.96
1956,3.76
1957,4.29
1958,4.35
1959,4.36
1960,4.50
1961,4.75
1962,4.54
1963,4.48
1964,4.17
1965,4.61
1966,4.40
1967,4.45
1968,4.48
1969,4.75
1970,4.68
1971,4.88
1972,5.24
1973,5.00
1974,5.47
1975,5.41
1976,5.37
1977,5.30
1978,5.56
1979,5.36
1980,5.60
1981,6.09
1982,5.86
1983,6.19
1984,6.15
1985,5.75
1986,5.77
1987,5.80
1988,5.98
1989,6.16
1990,6.23
1991,6.33
1992,6.36
1993,6.29
1994,6.50
1995,6.62
1996,6.79
1997,7.07
1998,6.67
1999,7.01
2000,7.06
2001,7.29
2002,7.38
2003,7.76
2004,7.74
2005,7.74
2006,7.92
2007,8.00
2008,8.35
2009,8.59
2010,8.90
2011,8.96
2012,9.33
2013,8.98
2014,
