country,year,gdp,meat_consumption,temperature,ghg_emission
Afghanistan,1970,156.52,17.17,14.78,14306.6163
Afghanistan,1971,159.57,16.89,14.82,14391.7782
Afghanistan,1972,135.32,14.68,12.55,13040.848
Afghanistan,1973,143.14,15.47,14.24,13535.7541
Afghanistan,1974,173.65,15.59,13.32,14945.9682
Afghanistan,1975,186.51,15.77,13.55,14574.164
Afghanistan,1976,197.45,17.37,13.71,14746.851
Afghanistan,1977,224.22,17.57,14.81,15247.281
Afghanistan,1978,247.35,17.76,14.33,15112.318
Afghanistan,1979,275.74,17.71,14.26,14923.075
Afghanistan,1980,272.66,18.12,14.89,15691.266
Afghanistan,1981,264.11,19.0,14.86,15810.335
Afghanistan,2002,179.43,13.71,15.54,13842.7381
Afghanistan,2002,264.11,13.71,15.54,13842.7381
Afghanistan,2003,190.68,12.9,14.92,14709.884
Afghanistan,2004,211.38,13.69,15.77,14654.374
Afghanistan,2005,242.03,14.01,14.98,14770.2643
Afghanistan,2006,263.73,11.21,15.6,14849.1594
Afghanistan,2007,359.69,10.71,15.11,15272.633
Afghanistan,2008,364.66,12.15,15.22,15288.7756
Afghanistan,2009,438.08,11.86,15.26,15554.4295
Afghanistan,2010,543.3,13.0,15.83,17791.3299
Afghanistan,2011,591.16,13.38,15.52,17981.30729
Afghanistan,2012,641.87,12.3,14.48,18168.86
Albania,1984,639.48,14.53,12.64,12215.2375
Albania,1985,639.87,15.2,12.95,11821.5831
Albania,1986,693.87,13.76,13.06,12079.105
Albania,1987,674.79,13.75,13.0,12175.4832
Albania,1988,652.77,15.62,13.04,12603.8867
Albania,1989,698.0,16.05,12.8,12552.7369
Albania,1990,617.23,17.0,13.47,11112.72956
Albania,1991,336.59,20.61,12.34,8273.6324
Albania,1992,200.85,20.07,13.08,6227.1532
Albania,1993,367.28,22.12,13.12,6067.1799
Albania,1994,586.42,24.94,14.1,6793.7963
Albania,1995,750.6,25.86,12.78,6421.5713
Albania,1996,1009.98,27.1,12.74,6187.3841
Albania,1997,717.38,21.81,12.9,5500.607
Albania,1998,813.79,23.58,13.31,5246.1311
Albania,1999,1033.24,31.58,13.65,6493.4872
Albania,2000,1126.68,26.91,13.75,8389.2767
Albania,2001,1281.66,31.47,13.69,6820.6244
Albania,2002,1425.12,37.79,13.56,7503.059759999999
Albania,2003,1846.12,37.87,13.63,7834.0157
Albania,2004,2373.58,39.65,13.26,7401.10155
Albania,2005,2673.79,40.55,12.75,8308.3856
Albania,2006,2972.74,44.49,12.98,8027.14955
Albania,2007,3595.04,48.8,13.89,9879.3935
Albania,2008,4370.54,53.52,13.96,8136.785
Albania,2009,4114.13,55.71,13.84,8108.812390000001
Albania,2010,4094.36,58.99,13.78,8506.99603
Albania,2011,4437.18,58.62,13.44,8712.29636
Albania,2012,4247.61,61.48,13.77,8898.64091
Algeria,1970,336.22,7.76,23.32,34603.8245
Algeria,1971,341.39,8.27,22.67,38924.7223
Algeria,1972,442.35,8.51,22.7,53749.0748
Algeria,1973,554.76,8.72,22.89,67626.6106
Algeria,1974,817.99,8.75,22.54,59317.0879
Algeria,1975,936.79,8.71,22.72,55999.4944
Algeria,1976,1037.61,9.1,22.36,68739.1219
Algeria,1977,1192.74,10.0,23.55,74887.917
Algeria,1978,1456.42,9.46,23.16,81970.0189
Algeria,1979,1782.7,9.69,23.4,84371.381
Algeria,1980,2203.0,10.65,23.16,83331.195
Algeria,1981,2237.09,11.3,23.58,79915.671
Algeria,1982,2210.3,12.7,23.09,83128.898
Algeria,1983,2312.66,13.79,23.68,89059.226
Algeria,1984,2467.35,14.92,23.06,92775.912
Algeria,1985,2582.88,15.61,23.53,104029.822
Algeria,1986,2757.13,16.04,23.26,107927.846
Algeria,1987,2807.33,16.02,24.25,106730.105
Algeria,1988,2417.38,16.28,23.82,107912.716
Algeria,1989,2215.85,16.47,23.72,110026.679
Algeria,1990,2408.69,17.25,24.01,106445.8175
Algeria,1991,1731.61,17.56,23.01,111649.003
Algeria,1992,1776.04,17.81,22.77,121636.28
Algeria,1993,1807.33,18.3,23.45,122490.489
Algeria,1994,1507.87,18.2,23.64,118601.888
Algeria,1995,1452.27,18.16,23.72,123799.179
Algeria,1996,1603.94,18.21,23.73,123728.789
Algeria,1997,1619.81,17.21,23.96,123971.393
Algeria,1998,1596.0,18.33,23.92,126561.246
Algeria,1999,1588.35,18.03,24.3,132794.415
Algeria,2000,1765.02,18.37,24.03,133778.197
Algeria,2001,1740.61,16.83,24.72,129334.834
Algeria,2002,1781.83,17.57,24.26,131222.654
Algeria,2003,2103.38,18.77,24.39,139592.331
Algeria,2004,2609.95,20.73,23.92,139846.684
Algeria,2005,3113.09,20.91,24.22,146241.499
Algeria,2006,3478.71,19.59,24.2,151655.372
Algeria,2007,3950.51,19.44,24.07,157333.425
Algeria,2008,4923.63,18.71,23.95,160415.277
Algeria,2009,3883.27,19.34,24.15,160849.92656
Algeria,2010,4480.79,18.35,25.22,167674.633
Algeria,2011,5455.84,19.85,24.14,172303.5092
Algeria,2012,5592.22,21.03,23.95,176471.22677
Angola,1980,710.98,14.41,22.08,48001.866160000005
Angola,1981,642.38,14.16,22.03,41894.79496
Angola,1982,619.96,15.11,21.82,45243.80208
Angola,1983,623.44,13.85,22.37,44852.06032
Angola,1984,637.72,14.18,22.36,35878.30078
Angola,1985,758.24,14.16,22.02,36714.19083
Angola,1986,685.27,13.76,22.04,35982.41365
Angola,1987,756.26,15.53,22.75,46721.25774
Angola,1988,792.3,14.63,22.41,35736.7658
Angola,1989,890.55,15.34,22.12,39342.98618
Angola,1990,947.7,14.13,22.47,50806.542689999995
Angola,1991,865.69,13.2,22.1,43761.08127
Angola,1992,656.36,14.21,22.5,64997.83986
Angola,1993,441.2,12.62,22.29,39775.107189999995
Angola,1994,328.67,11.23,22.19,44657.24335
Angola,1995,397.18,10.69,22.94,48230.29864
Angola,1996,522.64,11.96,22.48,47136.215789999995
Angola,1997,514.3,13.77,22.32,33091.22462
Angola,1998,423.59,14.76,23.12,35275.1251
Angola,1999,387.78,13.92,22.38,36119.4252
Angola,2000,556.84,16.82,22.36,34780.6811
Angola,2001,527.33,16.35,22.5,34371.8411
Angola,2002,872.49,20.02,22.93,34490.369
Angola,2003,982.96,21.73,23.07,35858.015
Angola,2004,1255.56,19.14,22.57,36860.2334
Angola,2005,1902.42,21.78,22.97,35855.7384
Angola,2006,2599.57,23.36,21.95,36375.822
Angola,2007,3122.0,24.74,22.43,36690.534
Angola,2008,4080.94,26.88,22.29,37396.294
Angola,2009,3122.78,24.93,22.32,38309.465130000004
Angola,2010,3587.88,28.14,22.68,40029.3921
Angola,2011,4615.47,31.86,22.03,40878.65196
Angola,2012,5100.1,34.85,22.12,41657.16485
Argentina,1970,1322.59,105.25,15.2,221957.023
Argentina,1971,1372.37,88.84,14.65,213551.78842
Argentina,1972,1408.87,82.74,14.82,223912.27884
Argentina,1973,2097.02,87.15,14.6,226956.0333
Argentina,1974,2844.86,97.93,14.64,229456.38
Argentina,1975,2027.34,108.87,14.94,233416.77
Argentina,1976,1948.22,109.99,14.44,247051.66
Argentina,1977,2129.71,109.14,15.35,247370.86
Argentina,1978,2146.36,111.87,15.19,248238.32
Argentina,1979,2520.92,109.24,14.97,255920.06
Argentina,1980,2758.84,110.71,15.23,253870.99
Argentina,1981,2776.32,109.71,15.17,245776.76
Argentina,1982,2927.9,94.45,15.26,243613.02
Argentina,1983,3553.38,90.91,14.95,248681.79
Argentina,1984,2659.71,96.16,14.4,243111.57
Argentina,1985,2926.13,104.71,15.33,238145.75
Argentina,1986,3613.62,95.93,15.33,250785.28
Argentina,1987,3562.88,97.14,15.19,256953.81
Argentina,1988,3985.19,89.41,14.84,266245.22
Argentina,1989,2383.87,85.55,15.54,265608.3
Argentina,1990,4333.48,83.73,15.16,266555.03
Argentina,1991,5735.36,87.03,15.1,267188.7341
Argentina,1992,6823.54,90.36,14.74,272139.1851
Argentina,1993,6969.12,98.58,15.1,276522.7527
Argentina,1994,7483.14,97.18,15.58,270948.3575
Argentina,1995,7408.71,90.89,15.15,275096.4092
Argentina,1996,7721.35,87.78,15.21,288246.2679
Argentina,1997,8213.13,89.21,15.62,299708.76
Argentina,1998,8289.51,93.25,15.26,311514.7
Argentina,1999,7774.74,99.87,15.06,333886.59
Argentina,2000,7708.1,98.75,14.75,331450.87
Argentina,2001,7208.37,94.19,15.37,326483.81
Argentina,2002,2593.4,79.68,15.18,311051.93
Argentina,2003,3349.81,83.46,15.52,344797.06
Argentina,2004,4277.72,87.25,15.44,369944.11
Argentina,2005,5109.85,89.8,15.11,358385.64
Argentina,2006,5919.01,93.79,15.56,373600.56
Argentina,2007,7245.45,94.95,14.63,384547.75
Argentina,2008,9020.87,97.31,15.48,411503.63
Argentina,2009,8225.14,99.64,15.53,373409.06564
Argentina,2010,10385.96,100.7,15.08,364684.25385
Argentina,2011,12848.86,105.34,15.34,372873.14376
Argentina,2012,13082.66,106.27,15.69,380295.32037
Armenia,1992,369.63,18.58,7.61,14512.5941
Armenia,1993,357.2,18.08,7.77,8362.9081
Armenia,1994,400.52,19.77,9.02,6107.5421
Armenia,1995,456.38,22.9,9.89,6710.3697
Armenia,1996,504.06,18.84,9.82,5992.235
Armenia,1997,523.28,20.76,9.25,6719.5874
Armenia,1998,609.17,21.29,10.45,6737.042
Armenia,1999,597.43,20.11,10.33,6389.0077
Armenia,2000,622.74,21.2,9.92,6867.7102
Armenia,2001,694.42,21.87,10.44,6896.4518
Armenia,2002,783.24,23.14,9.6,6460.2393
Armenia,2003,930.13,25.12,9.42,6973.88104
Armenia,2004,1191.92,26.77,9.72,7633.471
Armenia,2005,1643.75,29.15,9.74,8401.8162
Armenia,2006,2158.14,30.22,10.05,8743.5088
Armenia,2007,3139.28,36.96,9.54,9323.71758
Armenia,2008,4010.86,48.48,9.71,12469.983
Armenia,2009,2994.34,40.45,9.84,11235.08927
Armenia,2010,3218.37,40.76,11.51,11393.03935
Armenia,2011,3525.8,42.4,9.14,12417.73612
Armenia,2012,3681.86,44.77,10.35,12319.38961
Australia,1970,3299.84,104.99,21.78,319036.599
Australia,1971,3489.95,111.82,21.65,314446.149
Australia,1972,3943.79,116.28,22.01,355430.771
Australia,1973,4763.72,110.75,22.41,333243.563
Australia,1974,6473.17,94.77,21.24,355842.865
Australia,1975,6994.31,125.12,21.69,377568.654
Australia,1976,7476.75,129.76,21.19,407572.606
Australia,1977,7765.07,125.96,21.89,414927.113
Australia,1978,8242.08,130.12,21.61,377956.134
Australia,1979,9281.52,113.46,22.25,412123.022
Australia,1980,10194.39,110.66,22.59,433837.438
Australia,1981,11833.82,109.56,22.16,387882.439
Australia,1982,12766.59,112.64,21.91,428739.962
Australia,1983,11518.67,107.31,22.26,386673.558
Australia,1984,12431.95,107.19,21.52,398135.519
Australia,1985,11437.71,112.2,22.04,456717.644
Australia,1986,11364.33,111.98,22.09,434735.105
Australia,1987,11624.46,112.1,22.07,412842.803
Australia,1988,14254.65,110.46,22.63,434706.164
Australia,1989,17798.07,111.87,21.86,460970.008
Australia,1990,18211.14,115.25,22.36,482298.262
Australia,1991,18821.25,112.12,22.49,499346.73
Australia,1992,18569.51,112.14,21.93,486991.982
Australia,1993,17633.98,110.81,22.16,479463.744
Australia,1994,18045.87,111.7,22.03,522429.54
Australia,1995,20319.63,108.76,21.96,489294.147
Australia,1996,21861.33,107.63,22.33,508882.826
Australia,1997,23468.6,105.9,22.09,921012.05
Australia,1998,21318.96,110.7,22.66,920773.48
Australia,1999,20533.04,110.38,22.06,1190138.38
Australia,2000,21679.25,111.07,21.71,1081244.41
Australia,2001,19490.86,109.97,21.79,1241515.99
Australia,2002,20082.48,110.71,22.46,1117450.02
Australia,2003,23447.03,117.88,22.44,1023667.58
Australia,2004,30430.68,107.74,22.29,1144343.87
Australia,2005,33999.24,117.29,22.9,909262.03
Australia,2006,36044.92,111.8,22.26,1119632.1
Australia,2007,40960.05,122.1,22.49,1065623.87
Australia,2008,49601.66,112.38,22.23,892629.27
Australia,2009,42772.36,112.28,22.69,1105167.2361700002
Australia,2010,52022.13,111.95,22.08,782102.6922
Australia,2011,62517.83,121.12,21.77,785795.14995
Australia,2012,68012.15,117.33,22.02,761686.2738600001
Austria,1970,2058.77,75.97,5.93,68415.153
Austria,1971,2380.98,78.18,6.45,71138.884
